Category,Troop,Focal,Species,Age,Sex,Month,Day,Year,Time,Side,Note
Eat,P,Carolina,Emon,12,F,6,30,2022,8:25:26,R,Grasp silverberry with right hand and eat
Eat,P,Carolina,Emon,12,F,6,30,2022,8:28:29,R,Grasp and eat silverberry with right hand on top
Eat,P,Carolina,Emon,12,F,6,30,2022,8:23:54,L,Grab silverberry with left hand and eat
Eat,P,Carolina,Emon,12,F,6,30,2022,8:25:47,L,Grasp silverberry with left hand and eat
Eat,P,Carolina,Emon,12,F,6,30,2022,8:27:13,L,Grasp silverberry plant with left hand and eat
Eat,P,Carolina,Emon,12,F,6,30,2022,8:43:36,L,Forage and eat evergreen leaves with left hand
Eat,P,Carolina,Emon,12,F,6,30,2022,8:43:49,R,Forage and eat evergreen leaves with right hand
Eat,P,Carolina,Emon,12,F,6,30,2022,8:55:54,L,Eat unknown berry with left hand
Eat,P,Carolina,Emon,12,F,6,23,2022,8:32:57,R,Forage with right hand (silverberry)
Eat,P,Carolina,Emon,12,F,6,23,2022,8:33:29,R,Forage with right hand (silverberry)
Eat,P,Carolina,Emon,12,F,6,23,2022,8:38:07,R,Forage with right hand
Eat,P,Carolina,Emon,12,F,6,23,2022,8:39:57,R,"Forages with right hand (doesn't eat, but grabs branch as if she's going to forage)"
Eat,P,Carolina,Emon,12,F,6,23,2022,8:51:59,R,Forage with right hand (maple)
Eat,P,Carolina,Emon,12,F,6,23,2022,8:40:24,R,Eats silverberry out of right hand
Eat,P,Carolina,Emon,12,F,6,23,2022,8:34:56,L,Forage with left hand (silverberry)
Eat,P,Carolina,Emon,12,F,6,23,2022,8:39:04,L,Forage with left hand
Eat,P,Carolina,Emon,12,F,6,28,2022,10:47:13,R,Grasp silverberry branch with right hand.
Eat,P,Carolina,Emon,12,F,6,30,2022,8:30:44,L,Grasp silverberry with left hand on top
Eat,P,Carolina,Emon,12,F,6,30,2022,8:36:00,L,Grasp silverberry plant with left hand
Eat,P,Carolina,Emon,12,F,6,30,2022,8:19:06,R,"Grab silverberry with right hand on top, holding with both hands."
Eat,P,Carolina,Emon,12,F,6,30,2022,8:25:00,R,Grasp silverberry with right hand on top
Eat,P,Carolina,Emon,12,F,6,30,2022,8:27:44,R,Grasp silverberry with right hand on top
Eat,P,Carolina,Emon,12,F,6,30,2022,8:28:14,R,Grasp silverberry with right hand on top
Eat,P,Carolina,Emon,12,F,6,30,2022,8:33:14,R,Grasp silverberry plant with right hand
Eat,P,Carolina,Emon,12,F,6,30,2022,8:34:00,R,Grasp silverberry plant with right hand
Eat,P,Carolina,Emon,12,F,6,30,2022,8:36:13,R,Grasp silverberry plant with right hand
Eat,P,Carolina,Emon,12,F,6,30,2022,8:36:42,R,Grasp silverberry with right hand
Eat,P,Carolina,Emon,12,F,6,30,2022,8:26:42,R,Grasp silverberry with right hand and eat
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:20:50,L,"Grasp chow with left hand, then immedately switch to right"
Eat,Maddie,Duggan,Emon,14,M,6,28,2022,15:09:20,R,Eat food from enrichment item from right hand
Eat,Maddie,Duggan,Emon,14,M,6,24,2022,10:43:50,L,Duggan eats spinach out of his left hand.
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:06:12,L,Eat pineapple (from diet) with left hand
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:07:45,L,Eat sweet potato (from diet) with left hand
Eat,Maddie,Duggan,Emon,14,M,6,24,2022,9:55:02,R,Duggan eats chow with his right hand
Eat,Maddie,Duggan,Emon,14,M,6,24,2022,10:48:19,R,Duggan eats diet with his right hadn
Eat,Maddie,Duggan,Emon,14,M,6,28,2022,15:00:00,R,Eat pineapple with right hand
Eat,Maddie,Duggan,Emon,14,M,6,28,2022,15:02:02,R,Eat banana slice with right hand
Eat,Maddie,Duggan,Emon,14,M,6,28,2022,15:05:32,R,Eat banana slice with right hand
Eat,Maddie,Duggan,Emon,14,M,6,28,2022,15:07:30,R,Eats food from enrichment item from right hand
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:06:39,R,Eat pineapple (from diet) with right hand
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:07:27,R,Eat sweet potato (from diet) with right hand
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:11:10,R,Eat chow from right hand
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:12:16,R,Eat chow from right hand
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:15:58,R,Eat chow from right hand
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:16:31,R,Eat chow from right hand
Eat,Maddie,Duggan,Emon,14,M,7,8,2022,10:21:16,R,Eat chow with right hand
Eat,Furia,Furia,Pcoq,5,F,6,27,2022,11:33:19,R,Grasp leaves with left hand
Eat,Furia,Furia,Pcoq,5,F,7,1,2022,10:16:24,R,Laying on back. Grasps and eats unknown grass with right hand. Very cute and adorable.
Eat,Furia,Furia,Pcoq,5,F,6,27,2022,11:33:34,L,Eat leaves from left hand. Stop at 11:35:37
Eat,Furia,Furia,Pcoq,5,F,7,1,2022,10:51:40,L,Eat peanut with left hand (from diet)
Eat,Furia,Furia,Pcoq,5,F,6,27,2022,10:45:01,R,Eat unknown plant with right hand
Eat,Furia,Furia,Pcoq,5,F,7,1,2022,10:51:14,R,Eat peanut with right hand (from diet)
Eat,Furia,Furia,Pcoq,5,F,7,1,2022,10:51:46,R,Eat peanut with right hand (from diet)
Eat,Furia,Furia,Pcoq,5,F,7,1,2022,10:52:25,R,Eat diet with right hand
Eat,Furia,Furia,Pcoq,5,F,6,24,2022,9:04:34,L,Forage with left hand
Eat,N,Gisela,Pcoq,10,M,7,13,2022,8:05:09,L,Eat chow with left hand
Eat,N,Gisela,Pcoq,10,M,7,14,2022,9:30:53,L,Eat chow from left hand
Eat,N,Gisela,Pcoq,10,M,7,13,2022,7:59:19,R,Eat leaf with right hand
Eat,N,Gisela,Pcoq,10,M,7,13,2022,8:06:02,R,"Eat leaf with right hand. At same time, grasp pole with left hand and both feet. Stop at 8:06:35"
Eat,N,Gisela,Pcoq,10,M,7,13,2022,8:17:11,R,Eat chow with right hand
Eat,N,Gisela,Pcoq,10,M,7,13,2022,8:17:47,R,Eat leaf from right hand
Eat,N,Gisela,Pcoq,10,M,7,13,2022,8:47:53,R,Eat peanut with right hand (given by care tech so Silas can be taken for vet appointment)
Eat,N,Gisela,Pcoq,10,M,7,14,2022,9:31:04,R,Eat chow from right hand
Eat,N,Gisela,Pcoq,10,M,7,14,2022,9:31:18,R,Eat chow from right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:02:01,R,Forage and eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:03:21,R,Forage and eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:05:35,R,Forage and eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:08:16,R,Forage and eat with right hand
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:11:53,R,Grasp branch with right hand while foraging.
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:13:24,R,Grasp branch with right hand while foraging.
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:14:26,L,Grasp branch with left hand to eat from
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:17:58,L,Grasp branch with left hand on top and eat (grapevine)
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:18:54,L,Grasp grapevine branch with left hand and eat.
Eat,X,Licinius,Lcat,29,M,6,29,2022,8:43:42,R,Grasp and eat maple leaf with right hand. Holding tree with 4 limbs total.
Eat,X,Licinius,Lcat,29,M,6,29,2022,8:33:57,L,Grasp and eat maple leaf with left hand. Holding tree with 4 limbs total.
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:04:31,L,Forage and eat with left hand
