"Troop            (A, B, C, D...)",Focal Lemur,Species,Sex,Month,Day,Year,Time (H:M:S),Category,"Focal sample note                                                                                                                                                     (please include as much detail as possible.  If a note is about a grooming bout, for example, include stop time in the same cell)"
P,Rico,Emon,M,6,16,2022,10:39:09,R,Rico rests on branch
P,Rico,Emon,M,6,16,2022,10:39:50,Sm,Rico scent marks a branch
P,Rico,Emon,M,6,16,2022,10:46:44,L,Rico locomotes
P,Rico,Emon,M,6,16,2022,10:41:07,Voc,Rico makes chattering noise
P,Rico,Emon,M,6,16,2022,10:41:44,L,Rico walks across branch
P,Rico,Emon,M,6,16,2022,10:42:06,D,Rico poops
P,Rico,Emon,M,6,16,2022,10:47:13,L,Rico jumps to other branch
P,Rico,Emon,M,6,16,2022,10:43:07,"L, G Lh",Rico leaps to a branch and grabs it with his left hand first
P,Rico,Emon,M,6,16,2022,10:45:18,R,Rico rests
P,Rico,Emon,M,6,16,2022,10:46:23,"L, G Rh",Rico leaps to branch and grabs it with his left hand first
P,Rico,Emon,M,6,16,2022,10:47:40,R,Rico rests
P,Rico,Emon,M,6,16,2022,10:48:44,"L, G Lh",Rico leaps and grabs the branch with his left hand first
P,Rico,Emon,M,6,16,2022,10:52:03,"L, G Rh",Rico leaps and grabs the branch with his right hand first
P,Rico,Emon,M,6,16,2022,10:52:23,G Lh,Rico grabs a branch with his left hand
P,Rico,Emon,M,6,16,2022,10:56:00,"L, G Rh",Rico leaps and grabs the branch with his right hand first
P,Rico,Emon,M,6,16,2022,10:59:30,"L, G Rh",Rico leaps and grabs the branch with his right hand first
P,Rico,Emon,M,6,16,2022,11:00:30,L,Rico climbs across wall
P,Rico,Emon,M,6,16,2022,11:08:38,L Rh,Rico leaps and grabs branch with his right hand first. He lept a little slower than usual so his branch grab was very clear this time!
P,Rico,Emon,M,6,16,2022,11:14:53,E,Rico eats diet with his entire head in the bowl
P,Rico,Emon,M,6,16,2022,11:15:19,G E Rh,Rico picks up food from bowl and eats it out of his right hand
P,Rico,Emon,M,6,16,2022,11:17:39,Ho E Rh,Rico holds food (cucumber slice) in right hand and eats it from his right hand
P,Rico,Emon,M,6,16,2022,11:23:00,E Lh,Rico eats chow from his left hand
P,Rico,Emon,M,6,16,2022,11:24:32,E Lh,Rico eats chow from his left hand
P,Rico,Emon,M,6,16,2022,11:28:21,E Lh,Rico eats diet from left hand
P,Rico,Emon,M,6,16,2022,11:29:40,F Rh,Rico fishes around food bowl with right hand and picks up a piece of food. 
P,Rico,Emon,M,6,16,2022,11:29:40,E Lh,Rico switches the food to his left hand and eats out of his left hand.
